序号,题名/检索任务,作者,刊名,年份,期次,页码,板块,文中“体/用”规定,体用关系命题,对党建论文的可迁移价值,阅读优先级,来源层级,核验/阅读深度,来源链接,使用状态
11,体用论与传统儒家形而上学,沈顺福,哲学研究,2016,7,40-47+128-129,概念源流,体=理/本源；用=流行发用,佛教抽象思辨进入宋明儒学,用于说明体用范式的历史生成，避免简单归为原生儒家概念,必读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/2d908a898c968b86ed4420c1fb632795,可直接进入文献综述
12,朱子《太极解义》中的“体用”观念,陈睿超,哲学研究,2022,2,67-76,宋明理学,体=确定性/必然；用=可能性/能然,阴阳体用与理气体用统合,提示党建思想中“体”不能只写静态内容，也含规范性与生成条件,优先精读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/fdf9e7f7b4b97fa7f1b39f3ce10bc105,可直接进入文献综述
13,邵雍哲学的体用论,李震,哲学研究,2020,9,59-68,宋明理学,物内部体四用三；物之间体用对待,体用含动静、主从、高下、先后多重关系,提醒避免把体用压缩成理论—实践一组关系,优先精读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/66d345dce354b51320b8214d32001132,可直接进入文献综述
14,实践哲学视域中的王船山体用论,冯琳,哲学研究,2015,10,55-61,明清哲学,体用为主客实践中的交互关系,相与为体、用中成体,对党建思想最有启发：实践不是理论的附属，实践反过来生成并检验理论体系,必读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/4115320f2b29a49b9ebe22e77072b9db,可直接进入文献综述
15,朱子体用论发微,田丰,朱子学刊,2018,1,66-90,宋明理学,单体体用与中介体用,主体在实践体用关系中始终在场,可引入“党的主体性”作为连接思想之体与实践之用的中介,优先精读,集刊/层级待核,全文介绍级,https://www.cssn.cn/zx/zgzx/202210/t20221027_5554783.shtml,可直接进入文献综述
16,论邵雍先天易学哲学的体用观念,陈睿超,哲学动态,2018,6,,宋明理学,先天易学的体用结构,体用对待与观物方法,补强体用关系类型学,补充阅读,CSSCI/核心,题录级,https://www.cnki.net,可直接进入文献综述
17,太极至静与该贯体用——张栻太极思想变化历程,李丽珠,哲学动态,2026,2,,宋明理学,太极该体用、贯显微、涵动静,即体即用与持敬贯通动静,可用于讨论党建思想的动态展开与贯通机制,优先精读,CSSCI/核心,摘要级,https://gyy.buaa.edu.cn/info/1095/6082.htm,可直接进入文献综述
18,体用论视域下的“心外无事”说——从本体到工夫的考察,单虹泽,中国哲学史,2024,1,,阳明心学,体=心；用=事/工夫,依体立用、即用显体,可转化为思想体系与组织实践的双向生成模型,必读,CSSCI/核心（刊名）,摘要级,https://cnki.istiz.org.cn/kcms/detail/detailall.aspx?dbcode=CJFD&dbname=CJFD2024&filename=zzxs202401008,可直接进入文献综述
19,阳明心学“体用一源”思想研究,左朋,贵阳学院学报（社会科学版）,2025,5,,阳明心学,心体与发用一源,即体即用,概念直接相关，但不能作为C刊主证据,比较阅读,非CSSCI,摘要级,https://doi.org/10.16856/j.cnki.52-1141/c.2025.05.003,可直接进入文献综述
20,南北朝佛教哲学的“体相用”范畴,王帅,哲学研究,2022,12,54-62,佛教哲学,体相用在修道论、佛身论、存在论中的不同模式,同一范畴随问题域改变含义,提示党建研究必须界定“体”“用”对应项，不能借词代论证,必读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/0eefc78dedb9f0b256743ef07cbfa117,可直接进入文献综述
21,唯识学的体用思想略论,丁小平,西南民族大学学报（人文社会科学版）,2020,1,73-79,佛教哲学,唯识学体用结构,体用不离,用于概念史旁证,补充阅读,CSSCI/核心,题录级,https://www.cnki.net,可直接进入文献综述
22,一本二分三元：中国佛教哲学的体系架构与研究范式,王颂,哲学研究,2026,3,64-75+173,佛教哲学,一本—二分—三元统摄体相用,由二元走向三元系统,可帮助构造党建思想的本体、结构、功能三层模型,比较阅读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/dffd9a7d952c74e5c0587b6f4507f3ad,可直接进入文献综述
23,熊十力哲学的体用论,陈来,哲学研究,1986,1,36-42,现代新儒学,体=本心/仁体；用=翕辟成变,体用不二,辨析现代体用论如何重建主体能动性,必读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/79b42644cb98fa7fe17754164a368aae,可直接进入文献综述
24,对熊十力哲学思想之内核“体用不二”的批导,聂民玉,东岳论丛,2013,1,91-96,现代新儒学,批判熊十力体用不二,检验体用不二的理论限度,可作为论文反证，防止将体用关系绝对同一化,必读,CSSCI/核心,摘要级,https://dylc.cbpt.cnki.net/portal/journal/portal/client/paper/20859495fd5f94115a7b901a5b055012,可直接进入文献综述
25,论熊十力的唯心论的本体—宇宙论的形而上学,郁振华,华东师范大学学报（哲学社会科学版）,1998,4,16-24,现代新儒学,体=本心/仁体；用=宇宙论生成,以体用说理气,用于区分哲学本体论与政治理论体系中的“体”,优先精读,CSSCI/核心（刊网标识）,摘要级,https://xbzs.ecnu.edu.cn/CN/10.16382/j.cnki.1000-5579.1998.04.002,可直接进入文献综述
26,牟宗三“体、用、果”三位一体的理论架构,陶悦,哲学研究,2014,12,45-50+124,现代新儒学,体—用—果三层架构,由本体、活动到结果,启发加入“效能/结果”维度，避免体用二分封闭,比较阅读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/4df1a2396084e10cf77c84359abf2196,可直接进入文献综述
27,现代儒学中的斯宾诺莎幽灵——晚期熊十力的体用不二之学及其限度,郭潇,孔子研究,2026,1,,现代新儒学,实体一元论与体用不二的张力,体用不二仍有实体独立性难题,可作为理论限度与比较哲学反思,优先精读,CSSCI/核心,摘要级,https://www.aisixiang.com/data/172473.html,可直接进入文献综述
28,论“体”“用”概念在中国近代的“错位”——“中体西用”观的一种解析,路新生,华东师范大学学报（哲学社会科学版）,1999,5,3-12,近代转化,体由形上下移为伦理纲常；用由功能上移为西学,近代体用概念发生错位,是论证“文化思想用语不能直接移植党建”的关键警示文献,必读,CSSCI/核心（刊网标识）,摘要级,https://xbzs.ecnu.edu.cn/CN/10.16382/j.cnki.1000-5579.1999.05.001,可直接进入文献综述
29,“内圣外王”与“中体西用”：中西文化结合两种模式的比较研究,周炽成,东岳论丛,1992,5,57-62,近代转化,内圣外王与中体西用两种模式,比较文化结合路径,用于讨论体用范式的政治文化功能,补充阅读,CSSCI/核心（现刊标识）,摘要级,https://dylc.cbpt.cnki.net/portal/journal/portal/client/paper/9a9f07cdda23c30459cca1934033084c,可直接进入文献综述
30,义和团运动与“中学为体”的终结,朱宗震,华东师范大学学报（哲学社会科学版）,2000,3,56-62,近代转化,中学为体的历史边界,政治社会条件改变体用框架,用于交代体用范式的历史条件性,比较阅读,CSSCI/核心（刊网标识）,摘要级,https://xbzs.ecnu.edu.cn/CN/10.16382/j.cnki.1000-5579.2000.03.009,可直接进入文献综述
31,论魏晋玄学形而上学的特点及其贡献,沈顺福,东岳论丛,2011,3,41-47,魏晋玄学,崇本举末、体用不二,本体与现象共同构成存在,用于梳理体用范式早期形态,补充阅读,CSSCI/核心,摘要级,https://dylc.cbpt.cnki.net/portal/journal/portal/client/paper/911131404c6c70eb32b2d7a1ee33b59b,可直接进入文献综述
32,理学的兴起：问题意识、思维转型与话语建构,张恒,东岳论丛,2024,5,102-110,宋明理学,理学以体用思维处理一多之困,从本末/体相用转为理学体用,可借鉴为党建思想体系的话语建构研究,优先精读,CSSCI/核心,摘要级,https://dylc.cbpt.cnki.net/portal/journal/portal/client/paper/7842adb57f2bb06ab4c1c1559e163229,可直接进入文献综述
33,体用范式：中华文明因革之道导论,康晓光,文史哲,2026,4,,文明理论,元体、文体、时体；价值相关与价值无关之用,体用一源、合一、分立的分层规则,提供最接近可操作分析框架，但属新近论文，需全文复核,优先精读,CSSCI/核心,摘要级,https://pssxiv.cn/abs/202608.00331,可直接进入文献综述
34,论“结合”的辩证法,韩东晖,哲学研究,2026,3,5-19+172,马克思主义哲学,以结合的辩证法理解传统与现代,体用一源与两个结合的关系,为文化思想向党建思想迁移提供马克思主义方法论桥梁,必读,CSSCI/核心,摘要级,https://www.cnki.net,可直接进入文献综述
35,论中国哲学中的体用范畴,方克立,中国社会科学,1984,5,185-202,总体范畴,体有实体—作用、本质—现象两类基本含义,体用不二是中国哲学的重要思维方式,奠定整份研究的概念坐标,必读,CSSCI/权威,摘要级,https://academicnewsletter.sufe.edu.cn/info/233047,可直接进入文献综述
36,中国哲学体用论的源与流,景海峰,深圳大学学报（人文社会科学版）,1991,1,,总体范畴,追溯体用论的发生与流变,范畴含义随儒释道互动而变化,用于搭建概念史框架,必读,核心/历史目录待复核,题录级,https://www.cnki.net,可直接进入文献综述
37,略谈王弼体用范畴之原义——“有体无用”之“用体论”,林采佑,哲学研究,1996,11,30-36,魏晋玄学,体指形质承载，用指功能活动,用体论不能直接等同后世本体论,帮助区分早期形质体用与宋明性理体用,必读,CSSCI/核心,题录级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/7508f6066b3354eb32ac2bcae865eb4f,可直接进入文献综述
38,王弼的体用论及其无为思想,陈徽,中国哲学史,2025,4,,魏晋玄学,道体为无，政治作用表现为无为、有为两种层次,崇本息末与崇本举末构成两种实践方向,可用于辨析以体摄用并不等于取消具体治理,优先精读,CSSCI/核心,摘要级,https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CJFQ&dbname=CJFD2025&filename=ZZXK202504013,可直接进入文献综述
39,邵雍体用论的渊源、特色与定位,李震,中国哲学史,2020,2,,宋明理学,体用源自声音之学与形质论传统,体用分析物理结构，不以性理为唯一对象,说明体用存在多条历史谱系,必读,CSSCI/核心,摘要级,https://cass.academia.edu/ZhenLi%E6%9D%8E%E9%9C%87,可直接进入文献综述
40,朱熹与王阳明的体用与中和,朴炫贞,中国哲学史,2022,6,,宋明理学,朱熹为划分性体用，阳明为连续性体用,不相离不相杂与即体即用构成两种模型,党建研究应说明采用区分式还是连续式体用观,必读,CSSCI/核心,全文公开级,https://www.aisixiang.com/data/141701.html,可直接进入文献综述
41,体用互余：论方以智易学哲学的“四分用三”说,廖璨璨,周易研究,2018,4,,明清哲学,区分有体/无体、有用/无用,体用对待中存在统贯二者的至体,提示体用关系可以包含层级与余项,优先精读,CSSCI/核心,全文公开级,https://www.aisixiang.com/data/178188.html,可直接进入文献综述
42,理学生死论辩中的性、形与气——以朱熹对张载“水冰”比喻的批评为中心,张清江,中国哲学史,2018,2,,宋明理学,张载以性气即体即用，朱熹警惕把作用等同本体,体用判定影响对生成、消散和永恒的理解,提供体用同一化风险的反面材料,优先精读,CSSCI/核心,摘要级,https://www.cssn.cn/zx/zgzx/202210/t20221027_5554585.shtml,可直接进入文献综述
43,回归中国哲学话语体系——“体用”视角下的《老子》文本辨正阐释,常洪亮,湖北社会科学,2024,7,154-160,道家哲学,道体为根源，道用为生成和治理功能,由文本语境规定体用，反对西方本体论套读,适合学习概念本土化阐释方法,补充阅读,核心/层级待核,摘要级,https://fbsf.cbpt.cnki.net/portal/journal/portal/client/paper/2dafe52cedd99e41362c47fa1a901978,可直接进入文献综述
44,从体用关系看唐宋时期老学道论之转型,郝然,科学·经济·社会,2020,1,,道家哲学,唐宋老学重新配置道体与道用,体用关系随思想问题转型,用于说明概念具有历史可变性,补充阅读,CSSCI扩展/待核,题录级,https://www.cnki.net,可直接进入文献综述
45,“摄用归体”与“摄体归用”：论熊十力形而上学的两个步骤,段重阳,华东师范大学学报（哲学社会科学版）,2023,1,71-78,现代新儒学,体指普遍者本心与最高者实体，用指流行和行动样态,由用追问根据，再由体解释万殊,提供最完整的双向体用研究程序,必读,CSSCI/核心,全文公开级,https://xbzs.ecnu.edu.cn/CN/10.16382/j.cnki.1000-5579.2023.01.007,可直接进入文献综述
46,道体与道德——道体学内外的牟宗三,张程业,哲学研究,2022,5,118-127,现代新儒学,道体兼含静正与流行，道德实践使道体呈现,体通过实践工夫获得现实性,有助于解释规范体系怎样转化为实践能力,优先精读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/0c1c0511def64a2e1b6a001bb1327bea,可直接进入文献综述
47,罗钦顺哲学理气论与心性论关系再探讨,秦晋楠,现代哲学,2022,1,154-159,明代哲学,性为体，心的知觉活动为用,心性体用与理气一物存在融贯问题,提示不同理论层面的体用对应项必须一致,补充阅读,CSSCI/核心,摘要级,https://journal.yuanpingjia.com.cn/Journal/ArticleDetails/56579,可直接进入文献综述
48,明体达用、体用贯通：《周易》生生哲学与成己成物,张文智；刘超群,周易研究,2026,3,5-17,易学/当代阐释,体为生生之本体大源，用为成己成物的实践展开,生生本体通过人的实践活动显现,为理解明体达用提供经典层面的新解释,必读,CSSCI/核心,摘要级,https://zhouyi.sdu.edu.cn/info/1034/2478.htm,可直接进入文献综述
49,习近平文化思想体用观的哲学阐释,文长春,,,,,文化思想应用,从近代体用争论、马克思主义中国化到新时代文化实践展开,体用关系在历史语境中重新规定,与你的党建思想选题构成直接参照文本,必读,来源待用户原文复核,全文已由用户提供,,可直接进入文献综述
50,存在论、根据律与体用论的形而上学,段重阳,理论界,2023,8,,总体范畴,体指存在的最终根据，用指根据在具体存在中的活动与显现,体用论通过用追问根据，也在用中限制抽象本体,可用于界定体用论同西方存在论、根据律的差别,比较阅读,一般期刊,题录级,https://phil-zh.sysu.edu.cn/zh-hans/node/2001,可直接进入文献综述
